Fi'l,Mudari,Masdar,Bengali Meaning,Baab
فَعَلَ,يَفْعَلُ,الفِعْلٌ,কাজ করা,فَتَحَ
فَتَحَ,يَفْتَحُ,الفَتْحٌ,খোলা,فَتَحَ
مَدَحَ,يَمْدَحُ,المَدْحٌ,প্রশংসা করা,فَتَحَ
رَفَعَ,يَرْفَعُ,الرَفْعٌ,উঁচু করা,فَتَحَ
قَطَعَ,يَقْطَعُ,القَطْعٌ,কাটা,فَتَحَ
مَنَعَ,يَمْنَعُ,المَنْعٌ,বাধা দেওয়া,فَتَحَ
طَبَخَ,يَطْبَخُ,الطَبْخٌ,রান্না করা,فَتَحَ
زَرَعَ,يَزْرَعُ,الزَرْعٌ,চাষ করা,فَتَحَ
نَجَحَ,يَنْجَحُ,النَجَاحٌ,সফল হওয়া,فَتَحَ
سَبَحَ,يَسْبَحُ,السِبَاحَةٌ,সাঁতার কাটা,فَتَحَ
قَرَأَ,يَقْرَأُ,القِرَاءَةٌ,পড়া,فَتَحَ
سَالَ,يَسِيلُ,السَيْلٌ,বয়ে চলা,فَتَحَ
مَسَحَ,يَمْسَحُ,المَسْحٌ,মোছা,فَتَحَ
ذَهَبَ,يَذْهَبُ,الذَهَابٌ,যাওয়া,فَتَحَ
بَدَأَ,يَبْدَأُ,البَدْءٌ,শুরু করা,فَتَحَ
جَعَلَ,يَجْعَلُ,الجَعْلٌ,করা,فَتَحَ
نَصَحَ,يَنْصَحُ,النَصِيحَةٌ,উপদেশ দেওয়া,فَتَحَ
جَمَعَ,يَجْمَعُ,الجَمْعٌ,একত্রিত করা,فَتَحَ
ظَهَرَ,يَظْهَرُ,الظُهُورٌ,প্রকাশ পাওয়া,فَتَحَ
رَأَى,يَرَى,الرُؤْيَةٌ,দেখা,فَتَحَ
وَقَعَ,يَقَعُ,الوُقُوعٌ,পড়ে যাওয়া,فَتَحَ
وَضَعَ,يَضَعُ,الوَضْعٌ,রাখা,فَتَحَ
مَلَأَ,يَمْلَأُ,المَلْءٌ,ভরাট করা,فَتَحَ
دَفَعَ,يَدْفَعُ,الدَفْعٌ,ঠেলা,فَتَحَ
نَشَأَ,يَنْشَأُ,النَشْأَةٌ,উদ্ভব হওয়া,فَتَحَ
خَلَعَ,يَخْلَعُ,الخَلْعٌ,খুলে ফেলা,فَتَحَ
نَصَرَ,يَنْصُرُ,النَصْرٌ,সহায়তা করা,نَصَرَ
طَلَبَ,يَطْلُبُ,الطَلَبٌ,চাওয়া,نَصَرَ
خَلَقَ,يَخْلُقُ,الخَلْقٌ,সৃষ্টি করা,نَصَرَ
شَكَرَ,يَشْكُرُ,الشُكْرٌ,কৃতজ্ঞতা প্রকাশ করা,نَصَرَ
تَرَكَ,يَتْرُكُ,التَرْكٌ,ত্যাগ করা,نَصَرَ
مَكَثَ,يَمْكُثُ,المُكُوثٌ,থাকা,نَصَرَ
نَشَرَ,يَنْشُرُ,النَشْرٌ,প্রকাশ করা,نَصَرَ
قَتَلَ,يَقْتُلُ,القَتْلٌ,হত্যা করা,نَصَرَ
ذَكَرَ,يَذْكُرُ,الذِكْرٌ,উল্লেখ করা,نَصَرَ
خَرَجَ,يَخْرُجُ,الخُرُوجٌ,বের হওয়া,نَصَرَ
سَكَتَ,يَسْكُتُ,السُكُوتٌ,চুপ করা,نَصَرَ
سَجَدَ,يَسْجُدُ,السُجُودٌ,সিজদা করা,نَصَرَ
دَخَلَ,يَدْخُلُ,الدُخُولٌ,প্রবেশ করা,نَصَرَ
بَلَغَ,يَبْلُغُ,البُلُوغٌ,পৌঁছানো,نَصَرَ
دَرَسَ,يَدْرُسُ,الدِرَاسَةٌ,পড়াশোনা করা,نَصَرَ
نَظَرَ,يَنْظُرُ,النَظَرٌ,দেখা,نَصَرَ
أَمَرَ,يَأْمُرُ,الأَمْرٌ,আদেশ করা,نَصَرَ
نَقَصَ,يَنْقُصُ,النَقْصٌ,কমানো,نَصَرَ
أَكَلَ,يَأْكُلُ,الأَكْلٌ,খাওয়া,نَصَرَ
أَخَذَ,يَأْخُذُ,الأَخْذٌ,নেওয়া,نَصَرَ
شَعَرَ,يَشْعُرُ,الشُعُورٌ,অনুভব করা,نَصَرَ
حَصَلَ,يَحْصُلُ,الحُصُولٌ,প্রাপ্তি,نَصَرَ
سَكَنَ,يَسْكُنُ,السُكُونٌ,বসবাস করা,نَصَرَ
عَبَدَ,يَعْبُدُ,العِبَادَةٌ,ইবাদত করা,نَصَرَ
قَالَ,يَقُولُ,القَوْلٌ,বলা,نَصَرَ
قَامَ,يَقُومُ,القِيَامٌ,দাঁড়ানো,نَصَرَ
سَمِعَ,يَسْمَعُ,السَمْعٌ,শোনা,سَمِعَ
شَرِبَ,يَشْرَبُ,الشُرْبٌ,পান করা,سَمِعَ
حَمِدَ,يَحْمَدُ,الحَمْدٌ,প্রশংসা করা,سَمِعَ
لَبِسَ,يَلْبَسُ,اللُبْسٌ,পরিধান করা,سَمِعَ
رَكِبَ,يَرْكَبُ,الرُكُوبٌ,সওয়ার হওয়া,سَمِعَ
قَدِمَ,يَقْدُمُ,القُدُومٌ,আগমন করা,سَمِعَ
حَفِظَ,يَحْفَظُ,الحِفْظٌ,সংরক্ষণ করা,سَمِعَ
ضَحِكَ,يَضْحَكُ,الضَحْكٌ,হাসা,سَمِعَ
عَلِمَ,يَعْلَمُ,العِلْمٌ,জানা,سَمِعَ
فَهِمَ,يَفْهَمُ,الفَهْمٌ,বোঝা,سَمِعَ
غَضِبَ,يَغْضَبُ,الغَضَبٌ,রাগান্বিত হওয়া,سَمِعَ
لَعِبَ,يَلْعَبُ,اللَعِبٌ,খেলা,سَمِعَ
حَزِنَ,يَحْزَنُ,الحُزْنٌ,দুঃখিত হওয়া,سَمِعَ
كَرِهَ,يَكْرَهُ,الكَرْهٌ,অগ্রহণ করা,سَمِعَ
فَرِحَ,يَفْرَحُ,الفَرْحٌ,আনন্দিত হওয়া,سَمِعَ
شَهِدَ,يَشْهَدُ,الشَهَادَةٌ,সাক্ষ্য দেওয়া,سَمِعَ
حَذِرَ,يَحْذَرُ,الحَذَرٌ,সতর্ক থাকা,سَمِعَ
نَسِيَ,يَنسَى,النِسْيَانٌ,ভুলে যাওয়া,سَمِعَ
بَقِيَ,يَبْقَى,البَقَاءٌ,বেঁচে থাকা,سَمِعَ
خَجِلَ,يَخْجَلُ,الخَجَلٌ,লজ্জিত হওয়া,سَمِعَ
لَقِيَ,يَلْقَى,اللِقَاءٌ,সাক্ষাৎ করা,سَمِعَ
تَعِبَ,يَتْعَبُ,التَعَبٌ,ক্লান্ত হওয়া,سَمِعَ
رَغِبَ,يَرْغَبُ,الرَغْبَةٌ,ইচ্ছা করা,سَمِعَ
قَبِلَ,يَقْبَلُ,القَبْلٌ,গ্রহণ করা,سَمِعَ
مَرِضَ,يَمْرَضُ,المَرَضٌ,বেমার হওয়া,سَمِعَ
قَرُبَ,يَقْرُبُ,القُرْبٌ,কাছ হওয়া,كَرُمَ
بَعُدَ,يَبْعُدُ,البُعْدٌ,দূরে থাকা,كَرُمَ
كَثُرَ,يَكْثُرُ,الكَثْرَةٌ,বেশি হওয়া,كَرُمَ
حَسُنَ,يَحْسُنُ,الحُسْنٌ,সুন্দর হওয়া,كَرُمَ
كَبُرَ,يَكْبُرُ,الكِبَرٌ,বড় হওয়া,كَرُمَ
صَعُبَ,يَصْعُبُ,الصُعُوبَةٌ,কঠিন হওয়া,كَرُمَ
طَهُرَ,يَطْهُرُ,الطَهَارَةٌ,পবিত্র হওয়া,كَرُمَ
كَرُمَ,يَكْرُمُ,الكَرَمٌ,উদার হওয়া,كَرُمَ
ضَرَبَ,يَضْرِبُ,الضَرْبٌ,মারা,ضَرَبَ
غَلَبَ,يَغْلِبُ,الغَلْبٌ,জয় লাভ করা,ضَرَبَ
قَصَدَ,يَقْصِدُ,القَصْدٌ,লক্ষ্য করা,ضَرَبَ
كَذَبَ,يَكْذِبُ,الكَذِبٌ,মিথ্যা বলা,ضَرَبَ
غَفَرَ,يَغْفِرُ,الغُفْرَانٌ,মাফ করা,ضَرَبَ
عَرَفَ,يَعْرِفُ,العِلْمٌ,জানা,ضَرَبَ
هَلَكَ,يَهْلِكُ,الهَلَاكٌ,ধ্বংস হওয়া,ضَرَبَ
صَبَرَ,يَصْبِرُ,الصَبْرٌ,ধৈর্য ধারণ করা,ضَرَبَ
غَسَلَ,يَغْسِلُ,الغَسْلٌ,ধোয়া,ضَرَبَ
ظَلَمَ,يَظْلِمُ,الظُلْمٌ,অত্যাচার করা,ضَرَبَ
جَلَسَ,يَجْلِسُ,الجُلُوسٌ,বসে থাকা,ضَرَبَ
نَزَلَ,يَنزِلُ,النُزُولٌ,নেমে আসা,ضَرَبَ
خَتَمَ,يَخْتِمُ,الخَتْمٌ,সমাপ্তি ঘটানো,ضَرَبَ
كَسَبَ,يَكْسِبُ,الكِسْبٌ,লাভ করা,ضَرَبَ
رَجَعَ,يَرْجِعُ,الرُجُوعٌ,ফিরে যাওয়া,ضَرَبَ
حَمَلَ,يَحْمِلُ,الحَمْلٌ,ধরা,ضَرَبَ
فَقَدَ,يَفْقِدُ,الفَقْدٌ,হারানো,ضَرَبَ
وَجَدَ,يَجِدُ,الوُجُودٌ,পাওয়া,ضَرَبَ
وَصَلَ,يَصِلُ,الوُصُولٌ,পৌঁছানো,ضَرَبَ
زَادَ,يَزِيدُ,الزِيَادَةٌ,বাড়ানো,ضَرَبَ
